Year    CPI     Nominal Real
1968	0.348	2.90	19.11
1969	0.367	2.80	17.49
1970	0.388	2.96	17.49
1971	0.405	3.17	17.95
1972	0.418	3.22	17.66
1973	0.444	4.08	21.07
1974	0.493	12.52	58.23
1975	0.538	13.95	59.41
1976	0.569	13.48	54.30
1977	0.606	14.53	54.95
1978	0.652	14.57	51.20
1979	0.726	21.57	68.15
1980	0.824	33.86	94.24
1981	0.909	37.10	93.55
1982	0.965	33.57	79.74
1983	0.996	29.31	67.50
1984	1.039	28.88	63.71
1985	1.076	26.99	57.52
1986	1.097	13.93	29.13
1987	1.136	18.14	36.61
1988	1.183	14.60	28.31
1989	1.239	18.07	33.43
1990	1.307	21.73	38.14
1991	1.362	18.73	31.53
1992	1.403	18.21	29.76
1993	1.445	16.13	25.61
1994	1.482	15.54	24.04
1995	1.524	17.14	25.79
1996	1.569	20.62	30.14
1997	1.605	18.49	26.41
1998	1.630	12.07	16.97
1999	1.666	17.27	23.77
2000	1.722	27.72	36.91
2001	1.770	21.99	28.48
2002	1.799	23.71	30.23
2003	1.840	27.73	34.55
2004	1.889	35.89	43.57
2005	1.953	48.89	57.41
2006	2.016	59.05	67.17
2007	2.073	67.19	74.30
2008	2.153	92.57	98.61
2009	2.146	59.04	63.09
2010	2.181	75.87	79.77
2011	2.249	102.67	104.66
2012	2.292	99.92	99.95
2013	2.322	95.08	93.89
